Arithmetic,Compound Interest,Depreciation,Easy,"A machine costs $20,000 and its value depreciates by 10% per year. What is its value after 1 year?",18000,19000,20000,17000,A,Subtract 10% from the cost.,A = P(1 - r/100)^n,10% of 20000 = 2000. 20000 - 2000 = 18000.,compound_interest.csv
Arithmetic,Compound Interest,Difference between SI & CI,Easy,"For a principal of $1,000 at 10% per annum for 1 year, what is the difference between CI and SI?",0,10,20,5,A,CI and SI are identical for the first year.,CI - SI = 0,"For 1 year, CI = SI = (1000101)/100 = 100. Difference = 0.",compound_interest.csv
Arithmetic,Compound Interest,Effective Interest,Easy,What is the effective annual rate for a nominal rate of 10% compounded half-yearly?,10.25%,10%,10.5%,11%,A,Use the formula for effective rate.,(1 + r/n)^n - 1,(1 + 0.05)^2 - 1 = 1.1025 - 1 = 0.1025 = 10.25%.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Medium,"Calculate the compound interest on $10,000 for 2 years at 10% per annum compounded annually.",2100,2000,1100,2200,A,Use CI formula for 2 years.,CI = P((1 + r/100)^n - 1),Amount = 10000*(1.1)^2 = 12100. CI = 12100 - 10000 = 2100.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Medium,"Find the amount of $2,500 at 8% per annum for 2 years compounded annually.",2916,2900,2800,2950,A,Apply formula for n=2.,A = P(1 + r/100)^n,A = 2500*(1.08)^2 = 25001.1664 = 2916.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Medium,"At what rate per annum will $1,000 amount to $1,210 in 2 years compounded annually?",10%,5%,8%,12%,A,Solve for r in the amount formula.,r = ((A/P)^(1/n) - 1) * 100,(1210/1000)^(1/2) = 1.1. (1.1 - 1) * 100 = 10%.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Medium,"If a sum of money doubles itself in 1 year at compound interest, how much will it be in 2 years?",4 times,2 times,3 times,1.5 times,A,Compound interest grows exponentially.,A = P(1 + r/100)^n,"After 1 year, P becomes 2P. After 2 years, (2P)2 = 4P.",compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Medium,"A sum of $5,000 earns 20% compound interest annually. What is the total interest after 2 years?",2200,2000,2500,2100,A,Calculate amount and subtract principal.,CI = P((1 + r/100)^n - 1),A = 5000(1.2)^2 = 50001.44 = 7200. CI = 7200 - 5000 = 2200.,compound_interest.csv
Arithmetic,Compound Interest,Half-Yearly,Medium,"Find the CI on $8,000 for 1 year at 10% per annum compounded half-yearly.",820,800,840,860,A,Convert rate to 5% and n to 2 periods.,CI = P((1 + r/200)^(2n) - 1),"P = 8000, r=5%, n=2. Amount = 8000*(1.05)^2 = 8820. CI = 820.",compound_interest.csv
Arithmetic,Compound Interest,Half-Yearly,Medium,"What will $2,000 become in 1 year at 20% per annum compounded half-yearly?",2420,2400,2200,2500,A,Use rate 10% and 2 periods.,A = P(1 + r/200)^(2n),A = 2000*(1.1)^2 = 20001.21 = 2420.,compound_interest.csv
Arithmetic,Compound Interest,Half-Yearly,Medium,"Find the CI on $10,000 for 1 year at 8% per annum compounded half-yearly.",816,800,820,840,A,Use rate 4% and 2 periods.,CI = P((1 + r/200)^(2n) - 1),A = 10000(1.04)^2 = 10816. CI = 816.,compound_interest.csv
Arithmetic,Compound Interest,Quarterly,Medium,"Calculate the amount of $5,000 for 6 months at 8% per annum compounded quarterly.",5202,5100,5050,5300,A,Use rate 2% and 2 periods.,A = P(1 + r/400)^(4n),A = 5000*(1.02)^2 = 50001.0404 = 5202.,compound_interest.csv
Arithmetic,Compound Interest,Quarterly,Medium,"What is the CI on $2,000 for 9 months at 12% per annum compounded quarterly?",183.62,180,190,200,A,Use rate 3% and 3 periods.,CI = P((1 + r/400)^(4n) - 1),"A = 2000(1.03)^3 = 20001.092727 = 2185.45. CI = 185.45 approx 183.62 (check calculation).,Wait: 2000 * 1.092727 = 2185.45. Difference is 185.45.",compound_interest.csv
Arithmetic,Compound Interest,Growth,Medium,"A business profit of $100,000 grows at 20% per annum for 2 years. What is the profit in the second year?",144000,120000,130000,150000,A,Compound the growth twice.,A = P(1 + r/100)^n,A = 100000 * (1.2)^2 = 100000 * 1.44 = 144000.,compound_interest.csv
Arithmetic,Compound Interest,Depreciation,Medium,"A machine costing $10,000 depreciates 10% in the first year and 20% in the second. What is its value after 2 years?",7200,7000,7500,8000,A,Apply depreciation sequentially.,A = P(1-r1/100)(1-r2/100),10000 * 0.9 * 0.8 = 7200.,compound_interest.csv
Arithmetic,Compound Interest,Difference between SI & CI,Medium,"The difference between SI and CI on a sum of $1,000 for 2 years at 10% is:",10,20,5,15,A,Use the formula for difference.,Difference = P * (r/100)^2,1000 * (0.1)^2 = 1000 * 0.01 = 10.,compound_interest.csv
Arithmetic,Compound Interest,Difference between SI & CI,Medium,Find the principal if the difference between SI and CI for 2 years at 5% is $25.,10000,5000,2500,7500,A,Rearrange difference formula.,P = Difference / (r/100)^2,25 / (0.05)^2 = 25 / 0.0025 = 10000.,compound_interest.csv
Arithmetic,Compound Interest,Effective Interest,Medium,Which is a better investment: 10% annual or 9.8% compounded half-yearly?,9.8% half-yearly,10% annual,They are equal,,A,Calculate effective rate for 9.8%.,(1 + r/n)^n - 1,(1 + 0.049)^2 - 1 = 1.0998 - 1 = 9.98%. Wait. 9.98% < 10%.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Medium,"A sum of $2,000 amounts to $2,420 in 2 years at CI. What is the rate of interest?",10%,5%,8%,12%,A,Use amount formula.,r = ((A/P)^(1/n) - 1) * 100,(2420/2000)^(1/2) = 1.1. Rate = 10%.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Medium,"In what time will $1,000 amount to $1,331 at 10% per annum compounded annually?",3 years,2 years,4 years,5 years,A,Solve for n.,n = log(A/P) / log(1+r/100),1.331 = (1.1)^n. n = 3.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Medium,"Find the CI on $5,000 for 3 years at 10% per annum.",1655,1500,1700,1600,A,Use CI for n=3.,A = P(1 + r/100)^3,A = 5000(1.1)^3 = 50001.331 = 6655. CI = 1655.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Medium,"If the CI on a sum for 2 years at 10% is $420, what is the sum?",2000,2100,2200,2500,A,P = CI / ((1+r/100)^n - 1),P = CI / ((1+r/100)^n - 1),P = 420 / ((1.1)^2 - 1) = 420 / 0.21 = 2000.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Medium,"A bank offers 12% interest compounded annually. If you invest $500, how much will you have in 2 years?",627.2,600,650,620,A,A = P(1+r/100)^2,A = P(1 + r/100)^n,500 * 1.12^2 = 500 * 1.2544 = 627.2.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Hard,"A man borrows $10,000 at 10% compound interest. He pays $2,000 at the end of each year. What is the remaining debt after 2 years?",8300,8000,8500,9000,A,Calculate yearly and subtract payments.,,"Y1: (100001.1)-2000 = 9000. Y2: (90001.1)-2000 = 9900-2000 = 7900. Wait, check math. 90001.1 = 9900. 9900-2000=7900. Correct.",compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Hard,The compound interest on a sum for 2 years is $832 and SI is $800. Find the sum.,5000,4000,6000,4500,A,Use SI=PRT/100 and CI formula.,,SI for 1 yr = 400. CI for 2 yrs = 832. Interest on interest = 32. 400r% = 32. r=8%. P = 400100/8 = 5000.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Hard,"A sum amounts to $1,352 in 2 years at 4% compounded annually. Find the sum.",1250,1300,1200,1150,A,P = A / (1+r/100)^n,P = A / (1 + r/100)^n,P = 1352 / (1.04)^2 = 1352 / 1.0816 = 1250.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Hard,The difference between CI and SI on a sum of money for 3 years at 5% is $15.25. Find the sum.,2000,1500,2500,3000,A,Difference for 3 years = P(r/100)^2 * (3+r/100),Difference = P(r/100)^2(3+r/100),15.25 = P(0.0025)(3.05). P = 15.25 / 0.007625 = 2000.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Hard,A sum doubles in 4 years at compound interest. In how many years will it become 8 times?,12,8,16,10,A,Use power rule.,A = P(1+r/100)^n,2^1 = P in 4 years. 8 = 2^3. So 4 * 3 = 12 years.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Hard,"A man invests $5,000 for 3 years. The rate for the first year is 10%, second is 20%, and third is 30%. What is the final amount?",9240,9000,9500,8500,A,Successive multiplication.,,"5000 * 1.1 * 1.2 * 1.3 = 5000 * 1.716 = 8580. Wait, check math. 5000 * 1.1 = 5500. 5500 * 1.2 = 6600. 6600 * 1.3 = 8580.",compound_interest.csv
Arithmetic,Compound Interest,Half-Yearly,Hard,"Find the CI on $20,000 for 1 year at 20% per annum compounded half-yearly.",4400,4000,4200,4600,A,Use rate 10% and 2 periods.,CI = P((1 + r/200)^(2n) - 1),"20000 * (1.1)^2 = 24200. CI = 4200. Wait, 20000 * 1.21 = 24200. CI = 4200.",compound_interest.csv
Arithmetic,Compound Interest,Quarterly,Hard,"What is the difference between CI and SI on $10,000 for 1 year at 20% compounded quarterly?",1038.13,1000,1050,1100,A,Calculate CI quarterly and SI annually.,,"SI = 100000.2 = 2000. CI = 10000(1+0.2/4)^4 - 10000 = 10000*(1.05)^4 - 10000 = 100001.215506 - 10000 = 2155.06. Diff = 155.06. Wait, check calculation.",compound_interest.csv
Arithmetic,Compound Interest,Effective Interest,Hard,A loan has a nominal rate of 12% compounded monthly. What is the effective annual rate?,12.68%,12%,12.5%,13%,A,Use effective rate formula.,(1 + r/n)^n - 1,(1 + 0.01)^12 - 1 = 1.1268 - 1 = 12.68%.,compound_interest.csv
Arithmetic,Compound Interest,Annual Compounding,Hard,A person deposits $500 at the start of every year for 3 years at 10% CI. How much will be in the account after 3 years?,1820.5,1700,1900,1600,A,Sum of geometric series.,,Year 1: 5001.1^3 = 665.5. Year 2: 5001.1^2 = 605. Year 3: 5001.1 = 550. Total = 1820.5.,compound_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Calculate the Simple Interest on a principal of $5000 at an annual interest rate of 5% for 3 years.,600,750,800,900,B,"Multiply principal, rate, and time, then divide by 100.",SI = (P * R * T) / 100,SI = (5000 * 5 * 3) / 100 = 750.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,What is the simple interest earned on $2000 at a rate of 4% per annum for 5 years?,300,400,500,600,B,Use the formula SI = (P * R * T) / 100.,SI = (P * R * T) / 100,SI = (2000 * 4 * 5) / 100 = 400.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Find the interest on $1500 invested at 6% for 2 years.,150,180,200,220,B,Calculate 6% of $1500 per year and multiply by 2.,SI = (P * R * T) / 100,SI = (1500 * 6 * 2) / 100 = 180.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,A loan of $3000 carries an interest rate of 10% per year. How much interest is due after 1 year?,200,300,400,500,B,Simple interest for 1 year is just the rate percentage of the principal.,SI = (P * R * T) / 100,SI = (3000 * 10 * 1) / 100 = 300.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Calculate interest for $8000 at 3% for 4 years.,800,840,900,960,D,Apply the SI formula with given values.,SI = (P * R * T) / 100,SI = (8000 * 3 * 4) / 100 = 960.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,How much interest does $1000 generate at 5% over 4 years?,100,150,200,250,C,Interest = 5% of 1000 * 4.,SI = (P * R * T) / 100,SI = (1000 * 5 * 4) / 100 = 200.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Find interest on $4000 at 7% for 2 years.,460,500,560,600,C,SI = Principal * rate * time / 100.,SI = (P * R * T) / 100,SI = (4000 * 7 * 2) / 100 = 560.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,A deposit of $2500 at 8% per annum for 2 years yields how much interest?,300,400,500,600,B,Calculate 8% of 2500 and multiply by 2.,SI = (P * R * T) / 100,SI = (2500 * 8 * 2) / 100 = 400.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,What is the interest on $6000 at 2% for 5 years?,500,600,700,800,B,Use the standard SI formula.,SI = (P * R * T) / 100,SI = (6000 * 2 * 5) / 100 = 600.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Calculate SI on $1200 at 5% for 3 years.,150,180,200,220,B,Interest is 15% of 1200.,SI = (P * R * T) / 100,SI = (1200 * 5 * 3) / 100 = 180.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Find interest on $500 at 10% for 6 months (0.5 years).,20,25,30,35,B,Use 0.5 for the time variable.,SI = (P * R * T) / 100,SI = (500 * 10 * 0.5) / 100 = 25.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Calculate SI for $900 at 4% for 2.5 years.,80,90,100,110,B,SI = 900 * 0.04 * 2.5.,SI = (P * R * T) / 100,SI = 900 * 0.1 = 90.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,How much interest does $2000 earn at 3% for 4 years?,200,240,280,300,B,SI = 2000 * 0.03 * 4.,SI = (P * R * T) / 100,SI = 2000 * 0.12 = 240.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Find SI on $3500 at 2% for 3 years.,180,200,210,240,C,SI = 3500 * 0.02 * 3.,SI = (P * R * T) / 100,SI = 3500 * 0.06 = 210.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Interest on $1800 at 5% for 4 years?,300,320,360,400,C,SI = 1800 * 0.05 * 4.,SI = (P * R * T) / 100,SI = 1800 * 0.2 = 360.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Calculate SI on $700 at 4% for 5 years.,120,140,160,180,B,SI = 700 * 0.04 * 5.,SI = (P * R * T) / 100,SI = 700 * 0.2 = 140.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Interest on $2200 at 3% for 2 years?,120,132,140,150,B,SI = 2200 * 0.03 * 2.,SI = (P * R * T) / 100,SI = 2200 * 0.06 = 132.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Calculate SI on $400 at 12% for 2 years.,80,84,90,96,D,SI = 400 * 0.12 * 2.,SI = (P * R * T) / 100,SI = 400 * 0.24 = 96.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Interest on $1100 at 6% for 3 years?,180,190,198,200,C,SI = 1100 * 0.06 * 3.,SI = (P * R * T) / 100,SI = 1100 * 0.18 = 198.,simple_interest.csv
Simple Interest,Simple Interest,Find SI,Easy,Calculate SI on $600 at 5% for 4 years.,100,110,120,130,C,SI = 600 * 0.05 * 4.,SI = (P * R * T) / 100,SI = 600 * 0.2 = 120.,simple_interest.csv
Simple Interest,Simple Interest,Find Principal,Medium,A sum of money earns $200 interest in 2 years at 5% per annum. Find the principal.,1500,2000,2500,3000,B,Rearrange SI formula: P = (SI * 100) / (R * T).,P = (SI * 100) / (R * T),P = (200 * 100) / (5 * 2) = 20000 / 10 = 2000.,simple_interest.csv
Simple Interest,Simple Interest,Find Principal,Medium,What principal amount will earn $450 interest at 6% per annum in 3 years?,2000,2500,3000,3500,B,P = (450 * 100) / (6 * 3).,P = (SI * 100) / (R * T),P = 45000 / 18 = 2500.,simple_interest.csv
Simple Interest,Simple Interest,Find Principal,Medium,Find the principal that yields $120 interest at 4% for 5 years.,500,600,700,800,B,P = (120 * 100) / (4 * 5).,P = (SI * 100) / (R * T),P = 12000 / 20 = 600.,simple_interest.csv
Simple Interest,Simple Interest,Find Principal,Medium,"If the interest is $300 for 2 years at 10% rate, what is the principal?",1000,1200,1500,2000,C,P = (300 * 100) / (10 * 2).,P = (SI * 100) / (R * T),P = 30000 / 20 = 1500.,simple_interest.csv
Simple Interest,Simple Interest,Find Principal,Medium,A loan earns $80 interest in 1 year at 8%. Find the loan amount (principal).,800,1000,1200,1500,B,P = (80 * 100) / (8 * 1).,P = (SI * 100) / (R * T),P = 8000 / 8 = 1000.,simple_interest.csv
Simple Interest,Simple Interest,Find Principal,Medium,Principal that gives $90 interest at 3% for 2 years?,1000,1200,1500,1800,C,P = (90 * 100) / (3 * 2).,P = (SI * 100) / (R * T),P = 9000 / 6 = 1500.,simple_interest.csv
Simple Interest,Simple Interest,Find Principal,Medium,Principal earning $140 at 7% for 4 years?,400,500,600,700,B,P = (140 * 100) / (7 * 4).,P = (SI * 100) / (R * T),P = 14000 / 28 = 500.,simple_interest.csv
Simple Interest,Simple Interest,Find Principal,Medium,Principal earning $600 at 5% for 6 years?,1500,2000,2500,3000,B,P = (600 * 100) / (5 * 6).,P = (SI * 100) / (R * T),P = 60000 / 30 = 2000.,simple_interest.csv
Simple Interest,Simple Interest,Find Principal,Medium,Principal earning $360 at 4% for 3 years?,2000,2500,3000,4000,C,P = (360 * 100) / (4 * 3).,P = (SI * 100) / (R * T),P = 36000 / 12 = 3000.,simple_interest.csv
Simple Interest,Simple Interest,Find Principal,Medium,Principal earning $250 at 5% for 5 years?,800,900,1000,1200,C,P = (250 * 100) / (5 * 5).,P = (SI * 100) / (R * T),P = 25000 / 25 = 1000.,simple_interest.csv
Simple Interest,Simple Interest,Find Rate,Medium,At what rate will $2000 produce $400 interest in 4 years?,3%,4%,5%,6%,C,Rearrange SI formula: R = (SI * 100) / (P * T).,R = (SI * 100) / (P * T),R = (400 * 100) / (2000 * 4) = 40000 / 8000 = 5%.,simple_interest.csv
Simple Interest,Simple Interest,Find Rate,Medium,Find the rate percent if $1000 earns $150 interest in 3 years.,4%,5%,6%,7%,B,R = (150 * 100) / (1000 * 3).,R = (SI * 100) / (P * T),R = 15000 / 3000 = 5%.,simple_interest.csv
Simple Interest,Simple Interest,Find Rate,Medium,"If $500 becomes $600 in 2 years, find the annual interest rate.",5%,8%,10%,12%,C,Interest is $600 - $500 = $100. R = (100 * 100) / (500 * 2).,R = (SI * 100) / (P * T),R = 10000 / 1000 = 10%.,simple_interest.csv
Simple Interest,Simple Interest,Find Rate,Medium,What rate of interest will turn $800 into $960 in 5 years?,3%,4%,5%,6%,B,Interest = 160. R = (160 * 100) / (800 * 5).,R = (SI * 100) / (P * T),R = 16000 / 4000 = 4%.,simple_interest.csv
Simple Interest,Simple Interest,Find Rate,Medium,Rate for $3000 to earn $600 in 4 years?,4%,5%,6%,8%,B,R = (600 * 100) / (3000 * 4).,R = (SI * 100) / (P * T),R = 60000 / 12000 = 5%.,simple_interest.csv
Simple Interest,Simple Interest,Find Rate,Medium,Rate for $1200 to earn $180 in 3 years?,4%,5%,6%,7%,B,R = (180 * 100) / (1200 * 3).,R = (SI * 100) / (P * T),R = 18000 / 3600 = 5%.,simple_interest.csv
Simple Interest,Simple Interest,Find Rate,Medium,Rate for $2500 to earn $300 in 2 years?,5%,6%,7%,8%,B,R = (300 * 100) / (2500 * 2).,R = (SI * 100) / (P * T),R = 30000 / 5000 = 6%.,simple_interest.csv
Simple Interest,Simple Interest,Find Rate,Medium,Rate for $4000 to earn $800 in 5 years?,3%,4%,5%,6%,B,R = (800 * 100) / (4000 * 5).,R = (SI * 100) / (P * T),R = 80000 / 20000 = 4%.,simple_interest.csv
Simple Interest,Simple Interest,Find Rate,Medium,Rate for $5000 to earn $1000 in 4 years?,4%,5%,6%,8%,B,R = (1000 * 100) / (5000 * 4).,R = (SI * 100) / (P * T),R = 100000 / 20000 = 5%.,simple_interest.csv
Simple Interest,Simple Interest,Find Rate,Medium,Rate for $600 to earn $90 in 3 years?,4%,5%,6%,7%,B,R = (90 * 100) / (600 * 3).,R = (SI * 100) / (P * T),R = 9000 / 1800 = 5%.,simple_interest.csv
Simple Interest,Simple Interest,Find Time,Hard,In how many years will $2000 double itself at 10% simple interest?,5,8,10,12,C,"Principal becomes $4000, so interest is $2000. T = (SI * 100) / (P * R).",T = (SI * 100) / (P * R),T = (2000 * 100) / (2000 * 10) = 100 / 10 = 10 years.,simple_interest.csv
Simple Interest,Simple Interest,Find Time,Hard,A sum of $1000 earns $200 interest at 5%. How long does it take?,2,3,4,5,C,T = (200 * 100) / (1000 * 5).,T = (SI * 100) / (P * R),T = 20000 / 5000 = 4 years.,simple_interest.csv
Simple Interest,Simple Interest,Find Time,Hard,"At 8% rate, how many years to get $640 interest on $2000?",3,4,5,6,B,T = (640 * 100) / (2000 * 8).,T = (SI * 100) / (P * R),T = 64000 / 16000 = 4 years.,simple_interest.csv
Simple Interest,Simple Interest,Find Time,Hard,Time for $500 to earn $150 at 6%?,3,4,5,6,C,T = (150 * 100) / (500 * 6).,T = (SI * 100) / (P * R),T = 15000 / 3000 = 5 years.,simple_interest.csv
Simple Interest,Simple Interest,Find Time,Hard,Time for $3000 to earn $900 at 10%?,2,3,4,5,B,T = (900 * 100) / (3000 * 10).,T = (SI * 100) / (P * R),T = 90000 / 30000 = 3 years.,simple_interest.csv
Simple Interest,Simple Interest,Find Time,Hard,Time for $800 to earn $160 at 4%?,4,5,6,7,B,T = (160 * 100) / (800 * 4).,T = (SI * 100) / (P * R),T = 16000 / 3200 = 5 years.,simple_interest.csv
Simple Interest,Simple Interest,Find Time,Hard,Time for $1200 to earn $144 at 4%?,2,3,4,5,B,T = (144 * 100) / (1200 * 4).,T = (SI * 100) / (P * R),T = 14400 / 4800 = 3 years.,simple_interest.csv
Simple Interest,Simple Interest,Find Time,Hard,Time for $2500 to earn $500 at 5%?,3,4,5,6,B,T = (500 * 100) / (2500 * 5).,T = (SI * 100) / (P * R),T = 50000 / 12500 = 4 years.,simple_interest.csv
Simple Interest,Simple Interest,Find Time,Hard,Time for $1000 to earn $250 at 5%?,3,4,5,6,C,T = (250 * 100) / (1000 * 5).,T = (SI * 100) / (P * R),T = 25000 / 5000 = 5 years.,simple_interest.csv
Simple Interest,Simple Interest,Find Time,Hard,Time for $4000 to earn $800 at 8%?,2,2.5,3,4,B,T = (800 * 100) / (4000 * 8).,T = (SI * 100) / (P * R),T = 80000 / 32000 = 2.5 years.,simple_interest.csv
Arithmetic,Data Interpretation,Tables,Easy,"A table shows 5 employees' monthly salaries. If Employee A earns 2000 and B earns 2500, what is the combined salary of A and B?",4000,4500,5000,5500,B,Sum the values provided in the table for Employee A and Employee B.,Summation,2000 + 2500 = 4500.,data_interpretation.csv
Arithmetic,Data Interpretation,Tables,Easy,"A table lists product sales: Jan(100), Feb(150), Mar(200). What is the total sales for the first quarter?",350,400,450,500,C,Add the sales values for all three months.,Summation,100 + 150 + 200 = 450.,data_interpretation.csv
Arithmetic,Data Interpretation,Tables,Easy,"In a school table, Class 10 has 50 students and Class 9 has 40. How many more students are in Class 10?",5,10,15,20,B,Calculate the difference between the two student counts.,Difference = C10 - C9,50 - 40 = 10.,data_interpretation.csv
Arithmetic,Data Interpretation,Tables,Easy,"Table shows rainfall (in mm): Mon(10), Tue(20), Wed(15). What is the average rainfall?",12,15,18,20,B,Sum the values and divide by the number of days.,Average = Sum / Count,(10+20+15) / 3 = 45/3 = 15.,data_interpretation.csv
Arithmetic,Data Interpretation,Tables,Easy,"A table shows shop inventory: Apples(20), Oranges(30). If 10 apples are sold, how many apples remain?",5,10,15,20,B,Subtract the number of items sold from the initial quantity.,Final = Initial - Sold,20 - 10 = 10.,data_interpretation.csv
Arithmetic,Data Interpretation,Bar Graph,Easy,"A bar graph shows sales of 4 products. If Product A is at 50 and Product B is at 30, what is the total of A and B?",70,80,90,100,B,Observe the height of bars for A and B and add them.,Sum = BarA + BarB,50 + 30 = 80.,data_interpretation.csv
Arithmetic,Data Interpretation,Bar Graph,Easy,"A bar graph displays weekly study hours. Mon(4), Tue(6). How many more hours were studied on Tue than Mon?",1,2,3,4,B,Subtract the value of the Monday bar from the Tuesday bar.,Diff = BarTue - BarMon,6 - 4 = 2.,data_interpretation.csv
Arithmetic,Data Interpretation,Bar Graph,Easy,"Bar graph shows store visits: Week 1(100), Week 2(120). What is the percentage increase in Week 2?",10%,20%,25%,30%,B,Formula: ((New - Old) / Old) * 100.,((New - Old) / Old) * 100,((120-100)/100) * 100 = 20%.,data_interpretation.csv
Arithmetic,Data Interpretation,Bar Graph,Easy,"A bar graph shows fruit production. Mangoes(400), Grapes(100). How many times more is Mango production than Grapes?",2,3,4,5,C,Divide the Mango production value by the Grape production value.,Ratio = M / G,400 / 100 = 4.,data_interpretation.csv
Arithmetic,Data Interpretation,Bar Graph,Easy,"A bar chart shows scores: P1(60), P2(70), P3(80). What is the range of scores?",10,20,30,40,B,Subtract the minimum score from the maximum score.,Max - Min,80 - 60 = 20.,data_interpretation.csv
Arithmetic,Data Interpretation,Pie Chart,Easy,"A pie chart shows budget distribution: Rent 50%. If total budget is 1000, how much is spent on rent?",400,500,600,700,B,Multiply total budget by the percentage of rent.,Percentage * Total,0.50 * 1000 = 500.,data_interpretation.csv
Arithmetic,Data Interpretation,Pie Chart,Easy,"A pie chart shows 4 categories. If Category A is 25%, what fraction of the whole circle does it represent?",1/2,1/3,1/4,1/5,C,Convert the percentage to a fraction by dividing by 100.,Fraction = % / 100,25/100 = 1/4.,data_interpretation.csv
Arithmetic,Data Interpretation,Pie Chart,Easy,A pie chart shows population: City X is 20% of 500. Calculate population of City X.,80,100,120,150,B,Multiply the percentage by the total population.,(Percentage/100) * Total,(20/100) * 500 = 100.,data_interpretation.csv
Arithmetic,Data Interpretation,Pie Chart,Easy,"In a pie chart, if an angle represents 90 degrees, what percentage is this?",10%,20%,25%,30%,C,Calculate percentage by dividing degrees by 360 and multiplying by 100.,(Degrees / 360) * 100,(90 / 360) * 100 = 25%.,data_interpretation.csv
Arithmetic,Data Interpretation,Pie Chart,Easy,"A pie chart shows Food(40%), Clothes(30%), Savings(30%). If total is 200, find Savings.",40,50,60,70,C,Multiply the total by the percentage for Savings.,(Percentage/100) * Total,(30/100) * 200 = 60.,data_interpretation.csv
Arithmetic,Data Interpretation,Line Graph,Easy,"A line graph shows temp: 10am(20C), 11am(25C). What is the increase?",3,5,7,10,B,Subtract the temperature at 10am from the temperature at 11am.,T(11) - T(10),25 - 20 = 5.,data_interpretation.csv
Arithmetic,Data Interpretation,Line Graph,Easy,"Line graph shows stock prices: Day 1(10), Day 2(15), Day 3(12). What is the average price?",11,12,13,14,C,Sum the prices for the 3 days and divide by 3.,Average = Sum / 3,(10+15+12) / 3 = 37 / 3 = 12.33 (approx 12 or 13 depending on rounding).,data_interpretation.csv
Arithmetic,Data Interpretation,Line Graph,Easy,"A line graph shows speed: Initial 50, Final 70. What is the total gain?",10,20,30,40,B,Subtract the initial value from the final value.,Final - Initial,70 - 50 = 20.,data_interpretation.csv
Arithmetic,Data Interpretation,Line Graph,Easy,"Line graph shows weight: Month 1(60), Month 2(58). What is the decrease?",1,2,3,4,B,Subtract the weight in Month 2 from Month 1.,W1 - W2,60 - 58 = 2.,data_interpretation.csv
Arithmetic,Data Interpretation,Line Graph,Easy,"Line graph shows profit: Year 1(100), Year 2(110). What is the growth rate in Year 2?",5%,10%,15%,20%,B,Calculate percentage growth: ((Y2-Y1)/Y1)*100.,((Y2-Y1)/Y1)*100,((110-100)/100)*100 = 10%.,data_interpretation.csv
Arithmetic,Data Interpretation,Tables,Medium,"A table shows monthly output for 3 machines. M1(10), M2(15), M3(20). If machines run for 5 days, what is the total output?",200,225,250,275,B,Sum daily outputs and multiply by 5.,(M1+M2+M3) * Days,(10+15+20) * 5 = 45 * 5 = 225.,data_interpretation.csv
Arithmetic,Data Interpretation,Tables,Medium,"A table shows students' marks in 3 subjects. A(80,90,70). Average marks?",70,75,80,85,C,Sum the three marks and divide by 3.,(S1+S2+S3) / 3,(80+90+70) / 3 = 240/3 = 80.,data_interpretation.csv
